,Family,Species,Code,path_count
879,Notodontidae,Stauropus sikkimensis lushanus,347049,5
880,Notodontidae,Stauropus teikichiana teikichiana,432079,5
881,Erebidae,Stenhypena costalis,346756,6
882,Noctuidae,Stenoloba assimilis taiwana,346757,3
883,Noctuidae,Stenoloba glauca,423985,0
884,Noctuidae,Stenoloba manleyi formosana,346761,3
885,Noctuidae,Stenoloba nigrabasalis,346764,2
886,Noctuidae,Stenoloba nora,346765,2
887,Noctuidae,Stenoloba pulla,346767,2
888,Erebidae,Stictane sp.,,0
889,Erebidae,Stigmatophora karenkonis,432975,0
890,Thyrididae,Striglina sp.,,0
891,Noctuidae,Strotihypera flavipuncta,346390,4
892,Pyralidae,Sybrida discinota,347545,0
893,Pyralidae,Sybrida inordinata,347546,0
894,Geometridae,Syncosmia patinata,413134,2
895,Geometridae,Synegia eumeleata,345300,2
896,Notodontidae,Syntypistis comatus,347051,2
897,Notodontidae,Syntypistis cyanea cyanea,347052,5
898,Notodontidae,Syntypistis lineata,347053,7
899,Notodontidae,Syntypistis nigribasalis nigribasalis,347054,5
900,Notodontidae,Syntypistis perdix perdix,347055,0
901,Notodontidae,Syntypistis pryeri,347056,2
902,Notodontidae,Syntypistis subgeneris subgeneris,347057,4
903,Notodontidae,Syntypistis umbrosa,347058,8
904,Notodontidae,Syntypistis viridipicta,347059,5
905,Erebidae,Sypnoides chinensis,413191,6
906,Erebidae,Sypnoides hampsoni,346776,3
907,Erebidae,Sypnoides pannosa,346777,4
908,Erebidae,Sypnoides simplex,346778,0
909,Lasiocampidae,Syrastrena sumatrana obliquilinea,345554,9
910,Erebidae,Taicallimorpha albipuncta,343812,7
911,Noctuidae,Taiwanacosmia poecila,417210,0
912,Lasiocampidae,Takanea excisa excisa,431531,2
913,Crambidae,Talanga sexpunctalis,344391,0
914,Geometridae,Tanaoctenia haliaria,345305,6
915,Geometridae,Tanaorhinus formosana,345306,5
916,Geometridae,Tanaorhinus kina flavinfra,345307,2
917,Geometridae,Tanaorhinus viridiluteata,345308,7
918,Notodontidae,Tarsolepis japonica,347060,3
919,Geometridae,Telenomeuta punctimarginaria,345310,4
920,Pyralidae,Teliphasa albifusa,347551,1
921,Pyralidae,Teliphasa amica,347552,0
922,Pyralidae,Teliphasa nubilosa,347554,1
923,Pyralidae,Teliphasa sp.,,0
924,Crambidae,Teliphasa sp.,,0
925,Crambidae,Tenerobotys subfumalis,344394,0
926,Tortricidae,Terthreutis sp.,,0
927,Erebidae,Teulisna tumida,429980,3
928,Sphingidae,Theretra tibetiana,429567,6
929,Erebidae,Thyas coronata,346573,8
930,Erebidae,Thyas juno,346796,5
931,Geometridae,Timandra stueningi,345321,0
932,Geometridae,Timandra synthaca,345322,5
933,Noctuidae,Tiracola aureata,413194,2
934,Lecithoceridae,Tisis mesozosta,345623,2
935,Lasiocampidae,Trabala vishnou guttata,345557,9
936,Noctuidae,Trachea auriplena auriplena,346800,5
937,Noctuidae,Trachea delica,428186,4
938,Geometridae,Traminda aventiaria,344901,5
939,Geometridae,Trichopterigia adorabilis,345327,2
940,Geometridae,Trichopterigia sanguinipunctata sanguinipunctata,345332,3
941,Noctuidae,Trichosea diffusa,347263,3
942,Drepanidae,Tridrepana arikana,344452,3
943,Drepanidae,Tridrepana unispina,344454,3
944,Geometridae,Tristeirometa decussata moltrechti,345346,4
945,Geometridae,Tristrophis rectifascia rectifascia,345348,4
946,Bombycidae,Triuncina brunnea,343984,8
947,Nolidae,Tyana falcata,346936,7
948,Nolidae,Tympanistes rubidorsalis,429833,2
949,Crambidae,Tyspanodes hypsalis,344405,1
950,Crambidae,Tyspanodes striata,344406,0
951,Notodontidae,Uropyia meticulodina,347065,8
952,Erebidae,Utetheisa pulchelloides vaga,343962,5
953,Erebidae,Vamuna alboluteora,426799,0
954,Nolidae,Westermannia elliptica elliptica,346938,3
955,Geometridae,Xandrames dholaria,345355,6
956,Geometridae,Xanthorhoe cybele,345358,5
957,Geometridae,Xanthorhoe mediofascia,345359,1
958,Geometridae,Xanthorhoe saturata,345360,2
959,Geometridae,Xenortholitha corioidea,345363,4
960,Noctuidae,Xenotrachea irrorata,346821,11
961,Geometridae,Xerodes contiguaria,414120,5
962,Noctuidae,Xestia csoevarii,428180,2
963,Noctuidae,Xestia flavilinea,346823,6
964,Noctuidae,Xestia supravidua,428181,3
965,Noctuidae,Xestia tamsi,346826,4
966,Noctuidae,Xylostola indistincta,346837,1
967,Geometridae,Yashmakia suffusa,345147,3
968,Erebidae,Zanclognatha nigrisigna,346843,4
969,Erebidae,Zanclognatha sp.,,0
970,Cossidae,Zeuzera multistrigata,344052,2
