,No.,Altitude,Date,https://docs.google.com/spreadsheets/d/1fSvWzYNNyPRax3SlRuPMMsVsCZzNOj_fLgdczTBqpuk/edit#gid=941757145,Family,Species,Sex,W_length,B_length,w (g),插針重/針種類,Dw(g),Wei,Note_WT ,label,ID(ima),Note_SW,疊,籤,檔案日期,影像問題,Note_Chiou_Specimen,Note_thermal,Hot,Cold,Before.jpg,Temp_min_bf,Temp_max_bf,Temp_avg_bf,After.jpg,Temp_min,Temp_max,Temp_avg,Note,leg,點測
22,SJTT0022,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO099,male,20.87,15.46,0.0662,0.0385,0.0277,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13572,41,42.7,41.7,,,
23,SJTT0023,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_ERE18,male,14.81,11.53,0.0541,0.0368,0.0173,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13574,3.6,4.9,4.2,,,
24,SJTT0024,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT12,female,20.41,11.84,0.0602,0.0376,0.0226,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13576,40.7,43.6,41.9,,,
25,SJTT0025,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LYM01,male,19.65,15.08,0.0904,0.0374,0.053,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13578,41.9,44.8,42.9,胸的地方有腳,,
26,SJTT0026,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO121,male,16.12,10.9,0.0464,0.037,0.0094,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13580,42.4,44.6,43,,,
27,SJTT0027,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_ERE19,male,12.53,8.45,0.046,0.0365,0.0095,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13582,1.2,2.3,2,,,
28,SJTT0028,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC001,male,27.74,22.15,0.1245,0.0371,0.0874,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13584,36.2,38.9,37.5,,,
29,SJTT0029,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC034,female,20.62,19.67,0.0872,0.0376,0.0496,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13586,2.3,6.3,5,,,
30,SJTT0030,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,female,23.06,13.94,0.058,0.0369,0.0211,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13588,38.1,42.1,39.7,,,
31,SJTT0031,2000,28-VI-2017,"30.65613, 102.74873",Drepanidae,SJ_DRE04,male,15.07,9.29,0.045,0.0366,0.0084,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13590,-0.5,0.5,0,,,
32,SJTT0032,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,male,21.49,17.58,0.0575,0.0376,0.0199,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13592,36.2,38.4,37,,,
33,SJTT0033,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC005,male,24.48,22.19,0.1462,0.0375,0.1087,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13594,42.5,43.5,43.1,,,
34,SJTT0034,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC054,male,18.5,16.36,0.0951,0.0366,0.0585,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13596,38.2,40.6,39.9,,,
35,SJTT0035,2000,28-VI-2017,"30.65613, 102.74873",Crambidae,SJ_CRA12,female,14.01,10.07,0.0467,0.0365,0.0102,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13598,39.3,40.7,39.8,,,
36,SJTT0036,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT12,female,20.18,10.95,0.0567,0.0364,0.0203,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13600,-1.2,1.1,0.3,胸的地方有腳,,
37,SJTT0037,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC040,female,17.29,14.44,0.0811,0.0367,0.0444,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13602,4.3,5.9,5.3,,,
38,SJTT0038,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO121,male,17.37,10.26,0.0438,0.0367,0.0071,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13606,40.6,41.7,41.3,,,
39,SJTT0039,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO152,female,27.18,19.72,0.122,0.0378,0.0842,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13608,38.3,40.5,39.2,,,
40,SJTT0040,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC087,male,13.96,11.87,0.0518,0.0364,0.0154,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13618,-3.1,-1.5,-2.3,,,
41,SJTT0041,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,male,22.93,17.75,0.0563,0.0376,0.0187,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13624,6.8,7.4,7.1,,,
42,SJTT0042,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT12,female,20.89,13.07,0.0588,0.0377,0.0211,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13626,41.5,42.9,42.2,,,
43,SJTT0043,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT17,female,14.67,9.33,0.0488,0.0365,0.0123,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13628,-4.6,-3.7,-4.3,,,
44,SJTT0044,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO054,male,28.96,22.74,0.1863,0.0362,0.1501,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13630,-2.4,-1.2,-1.7,,,
45,SJTT0045,2000,28-VI-2017,"30.65613, 102.74873",Noctuidae,SJ_NOC007,female,21.4,15.14,0.1079,0.0371,0.0708,#N/A,右翅破損,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,IR_13636,15.8,16.2,15.9,IR_13656,39.6,41.3,40.5,,,
46,SJTT0046,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,#N/A,20.51,,0.0535,0.0372,0.0122,#N/A,右翅破損、無身體,1,1,,1,1,#N/A,#N/A,無樣本,,1,0,IR_13638,15.4,15.6,15.5,IR_13660,38,41.2,39.4,,0,
47,SJTT0047,2000,28-VI-2017,"30.65613, 102.74873",Drepanidae,SJ_DRE04,#N/A,15.43,6.96,0.0454,0.0386,0.0075,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13644,16.1,16.2,16.2,IR_13664,39.2,42.7,41.8,,,
48,SJTT0048,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO057,#N/A,19.81,14.5,0.0515,--,--,#N/A,標本破損不秤重,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13646,16.4,16.7,16.6,IR_13662,40.3,41.5,40.9,,,
49,SJTT0049,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,male,22.55,18.36,0.0563,0.037,0.0193,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13632,35.8,38.8,37,,,
50,SJTT0050,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,female,21.41,14.12,0.0661,0.0368,0.0293,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13640,35,39.8,37.1,,,
51,SJTT0051,2000,28-VI-2017,"30.65613, 102.74873",Drepanidae,SJ_THY16,female,18.11,13.34,0.082,0.037,0.045,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,0,1,,,,,IR_13642,-1.7,-0.4,-1.1,,,
52,SJTT0052,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT01,female,19.71,12,0.0618,0.036,0.0258,#N/A,,1,o,需影像,#N/A,#N/A,#N/A,#N/A,,,1,0,,,,,IR_13648,43,43.9,43.5,,,
53,SJTT0053,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO066,#N/A,32.49,23.08,0.1858,0.0382,0.1487,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13650,15.9,16.6,16.3,IR_13684,36.3,39.5,37.9,,,
54,SJTT0054,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT12,#N/A,20.02,11.61,0.0573,0.0368,0.0208,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13652,15.9,16.3,16.1,IR_13678,40.7,42.5,41.6,胸的地方有腳,,
55,SJTT0055,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_LIT02,#N/A,18.49,11.06,0.0527,0.0367,0.0153,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13654,15.7,15.9,15.8,IR_13690,35.5,39.1,37,,,
56,SJTT0056,2000,28-VI-2017,"30.65613, 102.74873",Erebidae,SJ_ARC05,#N/A,23.19,16.44,0.0977,0.0373,0.0597,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13658,15.8,16.2,16,IR_13704,41,42.8,42.1,,,
57,SJTT0057,2000,28-VI-2017,"30.65613, 102.74873",Geometridae,SJ_GEO063,#N/A,19.97,15.84,0.0536,0.0368,0.0158,#N/A,,1,1,,1,1,#N/A,#N/A,,,1,0,IR_13666,16.4,16.7,16.5,IR_13710,44.1,44.7,44.4,,,
